TAPAS,agency,best_public_dataset,dataset_administrator, url
1,Міністерство енергетики та вугільної промисловості України, Баланс ОЕС (фактичний), Укренерго (Мінфін), https://data.gov.ua/dataset/31199018-e15e-4e87-bf5e-2a4293151f5c
2,Державна фіскальна служба України, Реєстр платників ПДВ/ЄП, ДФС/ДПС (Мінфін), https://data.gov.ua/dataset/db391c93-1e68-43c9-bd85-7c6a8427b114
3,Міністерство юстиції України,ЄДР, НАІС, https://data.gov.ua/dataset/1c7f3815-3259-45e0-bdf1-64dca07ddc10
4,Державна служба геології та надр України, Дозволи на користування надрами, Геоінформ (Держгеонадра), https://data.gov.ua/dataset/f0b36102-1b92-4442-895d-a0d839c4d86b
5,Державне агентство автомобільних доріг України, Координати автомагістралей, Укравтодор, https://data.gov.ua/dataset/ff3aee7b-159f-43d1-8e4b-241a81be3e09
6,Державна служба статистики України, КОАТУУ, Держстат, https://data.gov.ua/dataset/dc081fb0-f504-4696-916c-a5b24312ab6e
7,Міністерство інфраструктури України, Перелік поштових відділень, Укрпошта, https://data.gov.ua/dataset/0ccacb08-1b49-4136-86e3-16edc162ec3c
8,Міністерство внутрішніх справ України, ЄДР ТЗ, ГСЦ МВС, https://data.gov.ua/dataset/06779371-308f-42d7-895e-5a39833375f0
9,Міністерство освіти і науки України, Навчальні заклади (база з питань освіти), МОН, https://data.gov.ua/dataset/55069524-985e-4b0f-ae64-75070d28197a
10,Міністерство економічного розвитку і торгівлі України, Публічні закупівлі, ДП Прозорро, https://data.gov.ua/dataset/f9c0acdb-23c5-4a2d-b549-9868df8ca927
